id,City mpg,Transmission,Driveline,Engine Type,Fuel Type,Height,Highway mpg,Horsepower,name,Length,Make,Model Year,Number of Forward Gears,Torque,Width,Year
p01,18,Automatic transmission,All-wheel drive,Audi 3.2L 6 cylinder 250hp 236ft-lbs,Gasoline,140,25,250,2009 Audi A3 3.2,143,Audi,2009 Audi A3,6,236,202,2009
p02,22,Automatic transmission,Front-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,Gasoline,140,28,200,2009 Audi A3 2.0 T AT,143,Audi,2009 Audi A3,6,207,202,2009
p03,21,Manual transmission,Front-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,Gasoline,140,30,200,2009 Audi A3 2.0 T,143,Audi,2009 Audi A3,6,207,202,2009
p04,21,Automatic transmission,All-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,Gasoline,140,28,200,2009 Audi A3 2.0 T Quattro,143,Audi,2009 Audi A3,6,207,202,2009
p05,21,Automatic transmission,All-wheel drive,Audi 2.0L 4 cylinder 200 hp 207 ft-lbs Turbo,Gasoline,140,28,200,2009 Audi A3 2.0 T Quattro,143,Audi,2009 Audi A3,6,207,202,2009
p06,16,Manual transmission,All-wheel drive,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,Gasoline,91,27,265,2009 Audi A5 3.2,17,Audi,2009 Audi A5,6,243,62,2009
p07,17,Automatic transmission,All-wheel drive,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,Gasoline,91,26,265,2009 Audi A5 3.2 AT,17,Audi,2009 Audi A5,6,243,62,2009
p08,13,Automatic transmission,All-wheel drive,Audi 4.2L 8 cylinder 350 hp 325 ft-lbs,Gasoline,201,18,350,2009 Audi Q7 4.2,221,Audi,2009 Audi Q7,6,325,191,2009
p09,14,Automatic transmission,All-wheel drive,Audi 3.6L 6 cylinder 280hp 266 ft-lbs,Gasoline,201,20,280,2009 Audi Q7 3.6,221,Audi,2009 Audi Q7,6,266,191,2009
p10,22,Manual transmission,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,Gasoline,147,30,211,2009 Audi A4 Sedan 2.0 T Quattro,96,Audi,2009 Audi A4 Sedan,6,258,34,2009
p11,21,Automatic transmission,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,Gasoline,147,27,211,2009 Audi A4 Sedan 2.0 T Quattro AT,96,Audi,2009 Audi A4 Sedan,6,258,34,2009
