id,Lot Area,Lot Config,Home Type,Roof Style,Foundation Type,Basement Area,Heating Type,Central Air,Rooms,Fireplaces,Garage Type,Fence Type,Year,Price,Satisfaction
p01,11241,CulDSac,Single Family,Gable,CBlock,1004,GasA,Y,5,1,Attchd,NA,2010,149000,8
p02,8246,Inside,Single Family,Gable,CBlock,1060,GasA,Y,6,1,Attchd,MnPrv,2010,154000,8
p03,7200,Corner,Single Family,Gable,CBlock,900,GasA,Y,5,0,Detchd,NA,2010,134800,3
p04,11478,Inside,Single Family,Gable,PConc,1704,GasA,Y,7,1,Attchd,NA,2010,306000,5
p05,10552,Inside,Single Family,Hip,CBlock,1398,GasA,Y,6,1,Attchd,NA,2010,165500,3
p06,7922,Inside,Single Family,Gable,CBlock,1057,GasA,Y,5,0,Detchd,NA,2010,109000,5
p07,7658,Inside,Townhouse,Hip,PConc,1752,GasA,Y,6,1,Attchd,NA,2010,319900,5
p08,8472,Corner,Duplex,Gable,CBlock,816,GasA,N,5,0,CarPort,NA,2010,110000,8
p09,10300,Inside,Single Family,Gable,BrkTil,576,GasA,Y,9,0,Detchd,GdPrv,2010,140000,8
p10,19900,Inside,Single Family,Gable,CBlock,1947,GasA,Y,7,1,Attchd,NA,2010,180000,2
p11,4608,Corner,Single Family,Gable,CBlock,747,GasA,Y,4,0,Attchd,NA,2010,80000,10
p12,10200,Inside,Single Family,Gable,CBlock,1086,GasA,Y,6,0,Attchd,GdWo,2010,144900,8
p13,5790,Corner,Single Family,Gambrel,CBlock,840,GasA,N,8,0,Detchd,NA,2010,107400,10
p14,10778,Inside,Duplex,Hip,CBlock,1768,GasA,N,8,0,NA,NA,2010,136500,8
p15,10625,Corner,Single Family,Gable,BrkTil,458,GasA,N,5,0,Basment,NA,2010,83000,3
p16,9320,Inside,Single Family,Gable,CBlock,950,GasA,Y,6,0,NA,NA,2010,128950,1
p17,10603,Inside,Single Family,Gable,PConc,1610,GasA,Y,6,2,Attchd,NA,2010,205000,4
p18,9206,Inside,Single Family,Gable,CBlock,741,GasA,Y,7,1,Attchd,NA,2010,178000,10
p19,10402,Corner,Single Family,Gable,PConc,1226,GasA,Y,6,0,Attchd,NA,2010,198900,6
p20,11751,Inside,Single Family,Hip,CBlock,1844,GasA,Y,7,1,Attchd,MnPrv,2010,190000,2
p21,7750,Inside,Single Family,Gable,PConc,384,GasA,Y,7,1,BuiltIn,NA,2010,180000,2
p22,12376,Corner,Single Family,Hip,PConc,1673,GasA,Y,11,2,Attchd,NA,2010,320000,1
p23,10500,FR2,Single Family,Gable,CBlock,864,GasA,Y,5,1,NA,NA,2010,115000,3
p24,8520,Corner,Single Family,Gable,CBlock,910,GasA,Y,6,0,Detchd,MnPrv,2010,166000,4
p25,9505,CulDSac,Single Family,Gable,PConc,884,GasA,Y,8,1,BuiltIn,NA,2010,222500,4
p26,12003,Corner,Single Family,Gable,PConc,774,GasA,Y,8,1,BuiltIn,NA,2010,269500,2
p27,12552,Corner,Single Family,Gable,PConc,991,GasA,Y,8,1,Attchd,GdWo,2010,254900,1
p28,12182,Corner,Single Family,Gable,PConc,1541,GasA,Y,7,1,Attchd,NA,2010,220000,10
p29,31770,Corner,Single Family,Hip,CBlock,1080,GasA,Y,7,2,Attchd,NA,2010,215000,2
p30,8546,Corner,Single Family,Gable,PConc,1121,GasA,Y,5,0,Attchd,NA,2010,140000,2
p31,10420,Corner,Single Family,Gable,PConc,1212,GasA,Y,6,0,Attchd,NA,2010,186000,1
p32,10900,FR2,Single Family,Gable,CBlock,689,GasA,Y,6,0,Attchd,MnPrv,2010,161750,4
p33,8521,FR2,Single Family,Gable,CBlock,912,GasA,Y,5,1,Detchd,MnPrv,2010,125000,5
p34,8760,Inside,Single Family,Hip,CBlock,1194,GasA,Y,6,0,Attchd,NA,2010,148000,6
p35,10650,Corner,Single Family,Gable,CBlock,894,GasA,Y,5,0,Attchd,MnPrv,2010,128200,3
p36,7851,Inside,Single Family,Gable,PConc,860,GasA,Y,8,2,BuiltIn,NA,2010,216500,9
p37,8773,FR2,Single Family,Gable,PConc,1414,GasA,Y,6,0,Attchd,NA,2010,185500,3
p38,9453,CulDSac,Single Family,Gable,PConc,996,GasA,Y,7,0,Attchd,NA,2010,194500,9
p39,8741,Inside,Single Family,Gable,CBlock,735,GasA,Y,7,1,Detchd,MnPrv,2010,113000,4
p40,9000,Inside,Single Family,Gable,PConc,1566,GasA,Y,7,0,Attchd,NA,2010,262500,1
p41,8880,Inside,Single Family,Gable,PConc,948,GasA,Y,8,2,Attchd,NA,2010,205000,9
p42,5350,Inside,Single Family,Gable,CBlock,728,GasA,Y,6,0,NA,GdWo,2010,76500,3
p43,8400,Inside,Single Family,Gable,CBlock,1314,GasA,Y,5,0,Attchd,NA,2010,145000,1
p44,5500,Corner,Single Family,Gable,BrkTil,926,GasA,Y,6,0,Detchd,NA,2010,130000,2
p45,11764,CulDSac,Single Family,Gable,PConc,1152,GasA,Y,9,1,Attchd,NA,2010,290000,4
